ιρλανδικός,"ιρλανδικός, -ή, -ό",,,
Ιρλανδός́,"Ιρλανδός, -ή",,,
Ισλανδία,"Ισλανδία, η",,,
ισλανδικός,"ισλανδικός, -ή, -ό",,,
Ισλανδός́,"Ισλανδός, -ή",,,
ισόγειο,"ισόγειο, το",,,
Ισπανία,"Ισπανία, η",,,
ισπανικός,"ισπανικός, -ή, -ό",,,
Ισπανός,"Ισπανός, -ίδα",,,
Ισραήλ,"Ισραήλ, το",,,
ισραηλινός,"ισραηλινός, -ή, -ό",,,
ιστορία,"ιστορία, η",,,
ίσως,ίσως,,,
Ιταλία,"Ιταλία, η",,,
ιταλικός,"ιταλικός, -ή, -ό",,,
Ιταλός,"Ιταλός, -ίδα",,,
καθαρίζω,καθαρίζω,,,
καθαρός,"καθαρός, -ή, -ό",,,
κάθε,κάθε,,,
καθένας,"καθένας, καθεμία/καθεμιά, καθένα",,,
κάθετα,κάθετα,,,
καθηγητής,"καθηγητής/-τρια, ο/η",,,
καθόλου,καθόλου,,,
κάθομαι,κάθομαι,,,
καθρέφτης,"καθρέφτης, ο",,,
καθυστέρηση,"καθυστέρηση, η",,,
καθώς,καθώς,,,
και,και,,,
καινούριος,"καινούριος, ιο",,,
καιρός,"καιρός, ο",,,
Τι καιρό κάνει;,Τι καιρό κάνει;,,,
κακός,"κακός, -ή, -ό",,,
καλημέρα,καλημέρα,,,
καληνύχτα,καληνύχτα,,,
καλησπέρα,καλησπέρα,,,
καλοκαίρι,"καλοκαίρι, το",,,
καλοριφέρ,"καλοριφέρ, το",,,
καλός́,"καλός, -ή -ό",,,
κάλτσα,"κάλτσα, η",,,
καλύπτω,καλύπτω,,,
καλύτερος,"καλύτερος, -η, -ο",,,
καλώ,καλώ,,,
καλωσορίζω,καλωσορίζω,,,
κάμπιγκ,"κάμπιγκ, το",,,
Καναδάς,"Καναδάς, ο",,,
καναδικός,"καναδικός, -ή, -ό",,,
Καναδός́,"Καναδός, -ή",,,
καναπές,"καναπές, ο",,,
κανένας,"κανένας, καμία/καμιά, κανένα",,,
κανόνας,"κανόνας, ο",,,
κάνω,κάνω,,,
καπέλο,"καπέλο, το",,,
κάποιος,"κάποιος, -α, -ο",,,
καράβι,"καράβι, το",,,
καρδιά,"καρδιά, η",,,
καρέκλα,"καρέκλα, η",,,
καρότο,"καρότο, το",,,
καρπούζι,"καρπούζι, το",,,
κάρτα,"κάρτα, η",,,
κασέρι,"κασέρι, το",,,
κασετίνα,"κασετίνα, η",,,
κασκόλ,"κασκόλ, το",,,
κατάθεση,"κατάθεση, η",,,
καταλαβαίνω,καταλαβαίνω,,,
κατάλογος,"κατάλογος, ο",,,
κατασκήνωση,"κατασκήνωση, η",,,
κατάσταση,"κατάσταση, η",,,
κατεβαίνω,κατεβαίνω,,,
κατεύθυνση,"κατεύθυνση, η",,,
κάτι,κάτι,,,
κατοικία,"κατοικία, η",,,
κάτοικος,"κάτοικος, ο/η",,,
κατσίκα,"κατσίκα, η",,,
κάτω,κάτω,,,
κάτω από,κάτω από,,,
καφές,"καφές, ο",,,
καφετέρια,"καφετέρια, η",,,
κείμενο,"κείμενο, το",,,
κενό,"κενό, το",,,
κεντρικός,"κεντρικός, -ή, -ό",,,
κέντρο,"κέντρο, το",,,
κεράσι,"κεράσι, το",,,
κερδίζω,κερδίζω,,,
Κέρκυρα,"Κέρκυρα, η",,,
κεφαλαίο γράμμα,κεφαλαίο γράμμα,,,
κεφάλι,"κεφάλι, το",,,
κήπος,"κήπος, ο",,,
κιθάρα,"κιθάρα, η",,,
κιλό,"κιλό, το",,,
Κίνα,"Κίνα, η",,,
Κινέζος,"Κινέζος, -α",,,
κινεζικός,"κινεζικός, -ή, -ό",,,
κινηματογράφος,"κινηματογράφος, ο",,,
κινητό τηλέφωνο,"κινητό τηλέφωνο, το",,,
κίτρινος,"κίτρινος, -η, -ο",,,
κλειδί,"κλειδί, το",,,
κλείνω,κλείνω,,,
κλίμα,"κλίμα, το",,,
κόβω,κόβω,,,
κοιλιά,"κοιλιά, η",,,
κοιμάμαι,κοιμάμαι,,,
κόκκινος,"κόκκινος, -η, -ο",,,
κόκορας,"κόκορας, ο",,,
κολλάω,κολλάω,,,
κολοκυθάκι,"κολοκυθάκι, το",,,
κολόνα,"κολόνα, η",,,
κολυμπάω,"κολυμπάω, -ώ",,,
κολύμπι,"κολύμπι, το",,,
κομμάτι,"κομμάτι, το",,,
